광역단체,기초단체,영화상영관명
서울시,강남구,메가박스 코엑스
서울시,강남구,이봄씨어터
서울시,강남구,CINE de CHEF 압구정
서울시,강남구,CGV 청담씨네시티
서울시,강남구,CGV 강남
서울시,강남구,롯데시네마 도곡
서울시,강남구,메가박스 강남대로(씨티)
서울시,강남구,롯데시네마 브로드웨이(신사)
서울시,강남구,CGV 압구정
서울시,강동구,CGV 천호
서울시,강동구,롯데시네마 강동
서울시,강동구,메가박스 강동
서울시,강북구,CGV 수유
서울시,강북구,CGV 미아
서울시,강북구,롯데시네마 수유
서울시,강서구,롯데시네마 가양
서울시,강서구,CGV 등촌
서울시,강서구,롯데시네마 김포공항
서울시,강서구,메가박스 마곡
서울시,강서구,메가박스 화곡
서울시,강서구,롯데시네마 김포공항_샤롯데
서울시,관악구,롯데시네마 서울대입구
서울시,관악구,롯데시네마 신림
서울시,광진구,CGV 강변
서울시,광진구,롯데시네마 건대입구
서울시,광진구,롯데시네마 건대입구_샤롯데
서울시,광진구,CGV 건대입구
서울시,광진구,메가박스 군자
서울시,광진구,KU시네마테크
서울시,구로구,CGV 구로
서울시,구로구,씨네큐 신도림
서울시,구로구,롯데시네마 신도림
서울시,금천구,롯데시네마 독산
서울시,금천구,롯데시네마 가산디지털
서울시,노원구,롯데시네마 노원수락산역
서울시,노원구,CGV 하계
서울시,노원구,CGV 중계
서울시,노원구,더숲 아트시네마
서울시,노원구,롯데시네마 노원
서울시,도봉구,메가박스 창동
서울시,동대문구,롯데시네마 청량리
서울시,동대문구,롯데시네마 장안
서울시,동작구,메가박스 이수
서울시,동작구,아트나인
서울시,마포구,CGV 연남
서울시,마포구,메가박스 상암월드컵경기장
서울시,마포구,메가박스 홍대
서울시,마포구,롯데시네마 합정
서울시,마포구,롯데시네마 홍대입구
서울시,마포구,CGV 홍대
서울시,서대문구,아트하우스모모
서울시,서대문구,CGV 신촌아트레온
서울시,서대문구,라이카시네마
서울시,서대문구,필름포럼
서울시,서대문구,메가박스 신촌
서울시,서초구,메가박스 강남
서울시,서초구,메가박스 센트럴
서울시,성동구,CGV 왕십리
서울시,성동구,메가박스 성수
서울시,성북구,CGV 성신여대입구
서울시,성북구,아리랑시네센터(서울)
서울시,송파구,롯데시네마 월드타워
서울시,송파구,메가박스 송파파크하비오
서울시,송파구,롯데시네마 월드타워_샤롯데
서울시,송파구,CGV 송파
서울시,송파구,잠실자동차극장
서울시,양천구,CGV 목동
서울시,양천구,메가박스 목동
서울시,영등포구,CGV 영등포
서울시,영등포구,CGV 여의도
서울시,영등포구,롯데시네마 영등포
서울시,용산구,CINE de CHEF 용산아이파크몰
서울시,용산구,CGV 용산아이파크몰
서울시,용산구,롯데시네마 용산
서울시,은평구,롯데시네마 은평(롯데몰)
서울시,은평구,CGV 불광
서울시,종로구,낭만극장
서울시,종로구,서울극장
서울시,종로구,에무 시네마 앤 카페
서울시,종로구,CGV 피카디리1958
서울시,종로구,서울아트시네마
서울시,종로구,시네큐브광화문(서울)
서울시,종로구,인디스페이스
서울시,종로구,허리우드클래식
서울시,중구,대한극장(서울)
서울시,중구,CGV 명동역 씨네라이브러리
서울시,중구,CGV 명동
서울시,중구,CGV 동대문
서울시,중구,롯데시네마 에비뉴엘(명동)
서울시,중구,메가박스 동대문
서울시,중구,명보아트시네마
서울시,중구,메가박스 EOE4(남산자동차극장)
서울시,중구,롯데시네마 에비뉴엘(명동)_샤롯데
서울시,중구,청춘극장
서울시,중량구,CGV 상봉
서울시,중량구,롯데시네마 중랑
서울시,중량구,메가박스 상봉
